yield,yield_std,Day
7.56329029,0.875103861,Day_4
4.02379429,0.325270483,Day_4
7.176994014,0.226366612,Day_4
3.08345596,0.117241672,Day_4
5.469474285,0.053810921,Day_4
8.604336209,0.251919284,Day_4
4.585051215,0.222458556,Day_4
2.339722896,0.220053599,Day_4
8.793425982,0.079363593,Day_4
0.050804724,0.032466924,Day_4
1.891498967,0.068541285,Day_4
0.506544145,0.103112547,Day_4
7.121078755,0.233280864,Day_4
0.088682803,0.021043377,Day_4
4.555590487,0.308736402,Day_4
-0.028859488,0.003006197,Day_4
0.340902706,0.010521688,Day_4
-0.031565065,0.001503098,Day_4
7.708188972,0.151211694,Day_4
5.135185212,0.103413167,Day_4
