PEG,DTT,Spermidine,T7Pol,t-RNA,AminoAcids,TF-plasmid,Circuit-plasmid,Circuit-plasmid_pTAC,Circuit-plasmid_pTHS,Circuit-plasmid_pDC,Circuit-plasmid_pSTAR,yield,yield_std
3,0,0.4,0.0078,0.04,0.75,10,10,0,1,0,0,10884.69,1863.031346
2.5,1,0.6,0.0078,0.04,0.75,2.5,10,0,1,0,0,18567.01,6523.424892
3,2,0.6,0.0078,0.04,0.75,2.5,10,0,1,0,0,17072.77,4094.052455
3.5,2,0.2,0.0078,0.04,0.75,2.5,10,0,1,0,0,17346.04,3501.967572
3.5,0,0.2,0.0078,0.04,0.75,20,10,0,1,0,0,6747.42,1666.321122
3.5,1,0.2,0.0078,0.04,0.75,15,10,0,1,0,0,4225.66,3095.024113
2,2.5,0.4,0.0078,0.04,0.75,10,10,0,1,0,0,3378.32,3071.095926
2.5,0,2,0.0078,0.04,0.75,5,10,0,1,0,0,9244.91,1339.573038
3,0.5,2,0.0078,0.04,0.75,5,10,0,1,0,0,1104.19,451.9813497
3.5,0,0.6,0.0078,0.04,0.75,2.5,10,0,1,0,0,9255.79,3360.59407
2,0,1.2,0.0078,0.04,0.75,5,10,0,1,0,0,6360.7,2720.259697
2.5,1,0.2,0.0078,0.04,0.75,15,10,0,1,0,0,9177.16,3080.152402
3.5,3,0.4,0.0078,0.04,0.75,2.5,10,0,1,0,0,8816.15,959.4587062
2.5,0,0.4,0.0273,0.04,0.75,5,10,0,1,0,0,11552.14,2104.020319
3,1.5,0.4,0.0078,0.04,0.75,20,10,0,1,0,0,8121.79,1324.144736
3,4,0.4,0.0507,0.04,0.75,50,10,0,1,0,0,-0.19,4.72272619
3,0,0.2,0.0507,0.04,0.75,50,10,0,1,0,0,19.76,13.49062264
3,0,0.4,0.0507,0.04,0.75,50,10,0,1,0,0,23.61,44.97952842
4,0,0.4,0.0507,0.04,0.75,50,10,0,1,0,0,0.72,5.583164149
4,1.5,0.2,0.0507,0.04,0.75,50,10,0,1,0,0,17.15,7.888993082
