Type,Replicate,Day,R2-Spearman,R2-Pearson,MAE,MSE
Active,A4,1,0.23464141418569695,-0.871470243401586,0.323162642561262,0.3326955675355125
Active,A4,2,0.4032579219929928,-0.509801198667426,0.2746865010511785,0.27574975979107
Active,A4,3,0.4397410956425356,-0.4415662848147208,0.2623704819728365,0.22908187366520258
Active,A4,4,0.5142621103896823,0.017636948717626333,0.2496883662198203,0.22642840465180547
Active,A4,5,0.5531788692079831,0.12150228951122799,0.24259678124422238,0.2288084060244223
Active,A4,6,0.5417482225368186,0.16707848044523066,0.23359221503324476,0.21652136615781045
Active,A4,7,0.43577815326093233,0.16833359779053403,0.2727196488832744,0.3082263516817876
Active,A4,8,0.5114329257275244,0.30345417909027483,0.23425445377813406,0.21634896597121467
Active,A4,9,0.5181411022071712,0.22499746842098378,0.23923729260821042,0.2067077952180322
Active,A4,10,0.6517861594992039,0.4077747368508119,0.198392849126052,0.15093251371768832
